# Goblin 700
000000000;4291420554;0;Tx; 
001013999;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;98
001014519;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;96
001014519;3920121719;1;1;1;229
001014519;3920121719;2;1;0;0
001014519;3920121719;4;1;1;0
001014519;3920121719;5;4;0;0
001014520;3920121719;6;4;0;0
001014520;3920121719;9;1;0;0
001014619;3920121719;1;1;1;229
001014619;3920121719;2;1;0;0
001014619;3920121719;3;1;1;55
001014619;3920121719;4;1;1;0
001014619;3920121719;6;4;0;0
001014621;3920121719;9;1;0;0
001014719;3920121719;1;1;1;229
001014719;3920121719;2;1;0;0
001014719;3920121719;4;1;1;0
001014719;3920121719;6;4;0;0
001014719;3920121719;7;1;0;21
001014719;3920121719;9;1;0;0
001014831;3920121719;1;1;1;229
001014831;3920121719;2;1;0;0
001014831;3920121719;3;1;1;55
001014831;3920121719;4;1;1;0
001014831;3920121719;6;4;0;0
001014834;3920121719;9;1;0;0
001014944;3920121719;1;1;1;229
001014944;3920121719;2;1;0;0
001014944;3920121719;4;1;1;0
001014944;3920121719;6;4;0;0
001014944;3920121719;8;5;0;0
001014945;3920121719;9;1;0;0
001015060;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;100
001015139;3920121719;1;1;1;229
001015139;3920121719;2;1;0;0
001015139;3920121719;3;1;1;55
001015139;3920121719;4;1;1;0
001015139;3920121719;6;4;0;0
001015140;3920121719;9;1;0;0
001015239;3920121719;1;1;1;229
001015239;3920121719;2;1;0;0
001015242;3920121719;4;1;1;0
001015242;3920121719;5;4;0;0
001015242;3920121719;6;4;0;0
001015242;3920121719;9;1;0;0
001015339;3920121719;1;1;1;229
001015339;3920121719;2;1;0;0
001015339;3920121719;3;1;1;55
001015339;3920121719;4;1;1;0
001015339;3920121719;6;4;0;0
001015339;3920121719;9;1;0;0
001015459;3920121719;1;1;1;229
001015459;3920121719;2;1;0;0
001015459;3920121719;4;1;1;0
001015459;3920121719;6;4;0;0
001015460;3920121719;7;1;0;21
001015460;3920121719;9;1;0;0
001015559;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;98
001015562;3920121719;1;1;1;229
001015562;3920121719;2;1;0;0
001015562;3920121719;3;1;1;55
001015562;3920121719;4;1;1;0
001015562;3920121719;6;4;0;0
001015562;3920121719;9;1;0;0
001015671;3920121719;1;1;1;229
001015671;3920121719;2;1;0;0
001015671;3920121719;4;1;1;0
001015671;3920121719;5;4;0;0
001015671;3920121719;6;4;0;0
001015672;3920121719;9;1;0;0
001015781;3920121719;1;1;1;229
001015781;3920121719;2;1;0;0
001015781;3920121719;3;1;1;55
001015781;3920121719;4;1;1;0
001015781;3920121719;6;4;0;0
001015784;3920121719;9;1;0;0
001015900;3920121719;1;1;1;229
001015900;3920121719;2;1;0;0
001015900;3920121719;4;1;1;0
001015901;3920121719;6;4;0;0
001015901;3920121719;7;1;0;21
001015901;3920121719;9;1;0;0
001015979;3920121719;1;1;1;229
001015979;3920121719;2;1;0;0
001015979;3920121719;3;1;1;55
001015979;3920121719;4;1;1;0
001015979;3920121719;6;4;0;0
001015979;3920121719;9;1;0;0
001016079;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;100
001016099;3920121719;1;1;1;229
001016099;3920121719;2;1;0;0
001016099;3920121719;4;1;1;0
001016103;3920121719;6;4;0;0
001016105;3920121719;8;5;0;0
001016105;3920121719;9;1;0;0
001016199;3920121719;1;1;1;229
001016199;3920121719;2;1;0;0
001016199;3920121719;3;1;1;55
001016199;3920121719;4;1;1;0
001016199;3920121719;6;4;0;0
001016200;3920121719;9;1;0;0
001016299;3920121719;1;1;1;229
001016299;3920121719;2;1;0;0
001016299;3920121719;4;1;1;0
001016299;3920121719;5;4;0;0
001016299;3920121719;6;4;0;0
001016299;3920121719;9;1;0;0
001016390;3920121719;1;1;1;229
001016390;3920121719;2;1;0;0
001016393;3920121719;3;1;1;55
001016393;3920121719;4;1;1;0
001016393;3920121719;6;4;0;0
001016393;3920121719;9;1;0;0
001016511;3920121719;1;1;1;229
001016511;3920121719;2;1;0;0
001016512;3920121719;4;1;1;0
001016512;3920121719;6;4;0;0
001016512;3920121719;7;1;0;21
001016512;3920121719;9;1;0;0
001016579;3920121719;1;1;1;229
001016579;3920121719;2;1;0;0
001016579;3920121719;3;1;1;55
001016579;3920121719;4;1;1;0
001016579;3920121719;6;4;0;0
001016579;3920121719;9;1;0;0
001016621;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;98
001016799;3920121719;1;1;1;229
001016799;3920121719;2;1;0;0
001016799;3920121719;4;1;1;0
001016799;3920121719;5;4;0;0
001016799;3920121719;6;4;0;0
001016800;3920121719;9;1;0;0
001016871;3920121719;1;1;1;229
001016871;3920121719;2;1;0;0
001016871;3920121719;3;1;1;55
001016871;3920121719;4;1;1;0
001016872;3920121719;6;4;0;0
001016872;3920121719;9;1;0;0
001016981;3920121719;1;1;1;229
001016981;3920121719;2;1;0;0
001016981;3920121719;4;1;1;0
001016982;3920121719;6;4;0;0
001016982;3920121719;7;1;0;21
001016985;3920121719;9;1;0;0
001017101;3920121719;1;1;1;229
001017101;3920121719;2;1;0;0
001017101;3920121719;3;1;1;55
001017101;3920121719;4;1;1;0
001017101;3920121719;6;4;0;0
001017101;3920121719;9;1;0;0
001017119;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;98
001017179;3920121719;1;1;1;229
001017179;3920121719;2;1;0;0
001017179;3920121719;4;1;1;0
001017179;3920121719;6;4;0;0
001017179;3920121719;8;5;0;0
001017179;3920121719;9;1;0;0
001017279;3920121719;1;1;1;229
001017279;3920121719;2;1;0;0
001017282;3920121719;3;1;1;55
001017282;3920121719;4;1;1;0
001017282;3920121719;6;4;0;0
001017282;3920121719;9;1;0;0
001017639;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;96
001017859;3920121719;1;1;1;229
001017859;3920121719;2;1;0;0
001017859;3920121719;4;1;1;0
001017861;3920121719;5;4;0;0
001017861;3920121719;6;4;0;0
001017861;3920121719;9;1;0;0
001017959;3920121719;1;1;1;229
001017959;3920121719;2;1;0;0
001017959;3920121719;3;1;1;55
001017959;3920121719;4;1;1;0
001017959;3920121719;6;4;0;0
001017959;3920121719;9;1;0;0
001018071;3920121719;1;1;1;229
001018071;3920121719;2;1;0;0
001018071;3920121719;4;1;1;0
001018071;3920121719;6;4;0;0
001018071;3920121719;7;1;0;21
001018071;3920121719;9;1;0;0
001018182;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;100
001018183;3920121719;1;1;1;229
001018183;3920121719;2;1;0;0
001018183;3920121719;3;1;1;55
001018183;3920121719;4;1;1;0
001018183;3920121719;6;4;0;0
001018183;3920121719;9;1;0;0
001018301;3920121719;1;1;1;229
001018301;3920121719;2;1;0;0
001018301;3920121719;4;1;1;0
001018304;3920121719;5;4;0;0
001018304;3920121719;6;4;0;0
001018304;3920121719;9;1;0;0
001018379;3920121719;1;1;1;229
001018379;3920121719;2;1;0;0
001018379;3920121719;3;1;1;55
001018379;3920121719;4;1;1;0
001018379;3920121719;6;4;0;0
001018379;3920121719;9;1;0;0
001018479;3920121719;1;1;1;229
001018479;3920121719;2;1;0;0
001018479;3920121719;4;1;1;0
001018479;3920121719;6;4;0;0
001018479;3920121719;7;1;0;21
001018479;3920121719;9;1;0;0
001018579;3920121719;1;1;1;229
001018579;3920121719;2;1;0;0
001018579;3920121719;3;1;1;55
001018582;3920121719;4;1;1;0
001018582;3920121719;6;4;0;0
001018582;3920121719;9;1;0;0
001018679;4272321920;1;1;2;766;2;1;0;9;3;1;0;9;4;1;0;100
001018679;3920121719;1;1;1;229
001018679;3920121719;2;1;0;0
001018679;3920121719;4;1;1;0
001018679;3920121719;6;4;0;0
001018679;3920121719;8;5;0;0
001018680;3920121719;9;1;0;0
001018911;3920121719;1;1;1;229
001018911;3920121719;2;1;0;0
001018911;3920121719;3;1;1;55
001018911;3920121719;4;1;1;0
001018911;3920121719;6;4;0;0
001018912;3920121719;9;1;0;0
001018979;3920121719;1;1;1;229
001018979;3920121719;2;1;0;0
001018979;3920121719;4;1;1;0
001018979;3920121719;5;4;0;0
001018979;3920121719;6;4;0;0
001018979;3920121719;9;1;0;0
