# Flame Wheel
000000000;4291420554;0;Tx; 
000228669;4300921482;12;1;3;0
000228958;4300921482;2;9;0;2698117
000228958;4300921482;3;9;3;6292073
000228968;4300921482;4;0;0;1
000228968;4300921482;6;1;0;310
000228978;4300921482;1;5;0;2325
000229149;4300921482;5;0;0;8
000229149;4300921482;7;4;0;298421
000229149;4300921482;8;1;1;7
000229149;4300921482;9;1;0;27
000229149;4300921482;10;1;0;66
000229149;4300921482;12;1;3;0
000229149;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;98
000229259;4300921482;11;1;0;98
000229259;4300921482;13;4;0;0
000229259;4300921482;14;5;1;1706509
000229509;4300921482;1;5;0;2326
000229509;4300921482;2;9;0;2698117
000229509;4300921482;3;9;3;6292074
000229512;4300921482;4;0;0;1
000229512;4300921482;6;1;0;310
000229618;4300921482;5;0;0;8
000229618;4300921482;7;4;0;298422
000229619;4300921482;8;1;1;15
000229619;4300921482;9;1;0;27
000229619;4300921482;10;1;0;94
000229619;4300921482;12;1;3;0
000229659;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;96
000229939;4300921482;1;5;0;2326
000229939;4300921482;2;9;0;2698117
000229939;4300921482;3;9;3;6292075
000229939;4300921482;4;0;0;1
000229939;4300921482;6;1;0;310
000230098;4300921482;5;0;0;8
000230101;4300921482;7;4;0;298424
000230101;4300921482;8;1;1;22
000230102;4300921482;9;1;0;27
000230102;4300921482;10;1;0;100
000230102;4300921482;12;1;3;0
000230178;4272321920;1;1;2;467;2;1;0;9;3;1;0;9;4;1;0;98
000230418;4300921482;1;5;0;2327
000230418;4300921482;2;9;0;2698117
000230418;4300921482;3;9;3;6292076
000230418;4300921482;4;0;0;1
000230418;4300921482;6;1;0;310
000230518;4300921482;11;1;0;98
000230518;4300921482;13;4;0;0
000230518;4300921482;14;5;1;1706509
000230709;4300921482;5;0;0;8
000230712;4300921482;7;4;0;298426
000230712;4300921482;8;1;1;31
000230712;4300921482;9;1;0;27
000230712;4300921482;10;1;0;96
000230712;4300921482;12;1;3;0
000230712;4272321920;1;1;2;466;2;1;0;9;3;1;0;9;4;1;0;100
000230939;4300921482;1;5;0;2327
000230939;4300921482;2;9;0;2698117
000230939;4300921482;3;9;3;6292076
000230939;4300921482;4;0;0;1
000230939;4300921482;6;1;0;310
000231138;4300921482;5;0;0;8
000231138;4300921482;7;4;0;298426
000231138;4300921482;8;1;1;22
000231138;4300921482;9;1;0;27
000231138;4300921482;10;1;0;96
000231142;4300921482;12;1;3;0
000231218;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000231378;4300921482;1;5;0;2328
000231378;4300921482;2;9;0;2698117
000231378;4300921482;3;9;3;6292077
000231378;4300921482;4;0;0;1
000231378;4300921482;6;1;0;310
000231618;4300921482;5;0;0;8
000231618;4300921482;7;4;0;298427
000231618;4300921482;8;1;1;22
000231618;4300921482;9;1;0;27
000231618;4300921482;10;1;0;92
000231618;4300921482;12;1;3;0
000231738;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000231838;4300921482;11;1;0;98
000231841;4300921482;13;4;0;0
000231841;4300921482;14;5;1;1706509
000231978;4300921482;1;5;0;2328
000231978;4300921482;2;9;0;2698117
000231978;4300921482;3;9;3;6292077
000231978;4300921482;4;0;0;1
000231978;4300921482;6;1;0;310
000232138;4300921482;5;0;0;8
000232138;4300921482;7;4;0;298427
000232138;4300921482;8;1;1;3
000232139;4300921482;9;1;0;28
000232139;4300921482;10;1;0;75
000232139;4300921482;12;1;3;0
000232269;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000232439;4300921482;1;5;0;2329
000232442;4300921482;2;9;0;2698117
000232442;4300921482;3;9;3;6292077
000232442;4300921482;4;0;0;1
000232443;4300921482;6;1;0;311
000232622;4300921482;5;0;0;8
000232622;4300921482;7;4;0;298427
000232622;4300921482;8;1;1;4
000232622;4300921482;9;1;0;28
000232622;4300921482;10;1;0;75
000232622;4300921482;12;1;3;0
000232778;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;96
000232918;4300921482;1;5;0;2329
000232918;4300921482;2;9;0;2698117
000232918;4300921482;3;9;3;6292077
000232918;4300921482;4;0;0;1
000232930;4300921482;6;1;0;311
000233038;4300921482;11;1;0;98
000233038;4300921482;13;4;0;0
000233038;4300921482;14;5;1;1706509
000233179;4300921482;5;0;0;8
000233179;4300921482;7;4;0;298427
000233179;4300921482;8;1;1;2
000233179;4300921482;9;1;0;28
000233179;4300921482;10;1;0;0
000233179;4300921482;12;1;3;0
000233298;4272321920;1;1;2;469;2;1;0;9;3;1;0;9;4;1;0;100
000233418;4300921482;1;5;0;2330
000233418;4300921482;2;9;0;2698117
000233418;4300921482;3;9;3;6292077
000233418;4300921482;4;0;0;1
000233418;4300921482;6;1;0;311
000233638;4300921482;5;0;0;8
000233638;4300921482;7;4;0;298427
000233638;4300921482;8;1;1;2
000233638;4300921482;9;1;0;28
000233638;4300921482;10;1;0;0
000233638;4300921482;12;1;3;0
000233821;4272321920;1;1;2;467;2;1;0;9;3;1;0;9;4;1;0;100
000233878;4300921482;1;5;0;2330
000233878;4300921482;2;9;0;2698117
000233878;4300921482;3;9;3;6292077
000233878;4300921482;4;0;0;1
000233878;4300921482;6;1;0;311
000234099;4300921482;5;0;0;8
000234099;4300921482;7;4;0;298427
000234099;4300921482;8;1;1;1
000234103;4300921482;9;1;0;28
