# Goblin 700
000000000;4291420554;0;Tx; 
000184479;3920121719;7;1;0;21
000184479;3920121719;9;1;0;0
000184578;3920121719;1;1;1;498
000184581;3920121719;2;1;0;0
000184581;3920121719;3;1;1;55
000184581;3920121719;4;1;1;0
000184581;3920121719;6;4;0;0
000184581;3920121719;9;1;0;0
000184698;3920121719;1;1;1;498
000184698;3920121719;2;1;0;0
000184698;3920121719;4;1;1;0
000184698;3920121719;5;4;0;0
000184698;3920121719;6;4;0;0
000184698;3920121719;9;1;0;0
000184778;3920121719;1;1;1;498
000184778;3920121719;2;1;0;0
000184778;3920121719;3;1;1;55
000184778;3920121719;4;1;1;0
000184778;3920121719;6;4;0;0
000184778;3920121719;9;1;0;0
000184838;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;100
000184878;3920121719;1;1;1;498
000184878;3920121719;2;1;0;0
000184878;3920121719;4;1;1;0
000184878;3920121719;6;4;0;0
000184878;3920121719;7;1;0;21
000184878;3920121719;9;1;0;0
000184978;3920121719;1;1;1;498
000184978;3920121719;2;1;0;0
000184978;3920121719;3;1;1;55
000184978;3920121719;4;1;1;0
000184978;3920121719;6;4;0;0
000184978;3920121719;9;1;0;0
000185078;3920121719;1;1;1;498
000185078;3920121719;2;1;0;0
000185078;3920121719;4;1;1;0
000185078;3920121719;6;4;0;0
000185088;3920121719;8;5;0;0
000185088;3920121719;9;1;0;0
000185278;3920121719;1;1;1;498
000185278;3920121719;2;1;0;0
000185278;3920121719;3;1;1;55
000185278;3920121719;4;1;1;0
000185278;3920121719;6;4;0;0
000185278;3920121719;9;1;0;0
000185358;4272321920;1;1;2;826;2;1;0;9;3;1;0;9;4;1;0;98
000185378;3920121719;1;1;1;498
000185378;3920121719;2;1;0;0
000185378;3920121719;4;1;1;0
000185378;3920121719;5;4;0;0
000185378;3920121719;6;4;0;0
000185378;3920121719;9;1;0;0
000185458;3920121719;1;1;1;498
000185461;3920121719;2;1;0;0
000185461;3920121719;3;1;1;55
000185461;3920121719;4;1;1;0
000185461;3920121719;6;4;0;0
000185461;3920121719;9;1;0;0
000185558;3920121719;1;1;1;498
000185558;3920121719;2;1;0;0
000185558;3920121719;4;1;1;0
000185558;3920121719;6;4;0;0
000185558;3920121719;7;1;0;21
000185558;3920121719;9;1;0;0
000185679;3920121719;1;1;1;498
000185679;3920121719;2;1;0;0
000185679;3920121719;3;1;1;55
000185679;3920121719;4;1;1;0
000185679;3920121719;6;4;0;0
000185679;3920121719;9;1;0;0
